रामायण	PROPN	6
काल	PROPN	1
चुन	VERB	41
में	ADP	9494
भगवान	NOUN	21
राम	PROPN	36
पुत्र	NOUN	26
का	ADP	18717
कुश	PROPN	1
राजधानी	NOUN	85
कुशावती	PROPN	1
को	ADP	6702
483	PROPN	1
पूर्व	PROPN	17
ईसा	PROPN	1
बुद्ध	PROPN	19
ने	ADP	5460
अपना	PRON	1104
विश्राम	NOUN	2
अंतिम	ADJ	86
के	ADP	6801
लिए	ADP	2014
।	PUNCT	13323
मल्ला	NOUN	1
हो	VERB	3174
था	VERB	138
कारण	ADP	255
प्राचीनकाल	NOUN	1
यह	DET	3574
स्थान	NOUN	110
महत्व	NOUN	25
अत्यंत	ADJ	1
बौद्ध	PROPN	11
धर्मावलंबी	NOUN	1
अनुसार	ADP	165
लुंबनी	PROPN	1
COMMA	PUNCT	2902
बोधगया	PROPN	1
और	CCONJ	3525
सारनाथ	PROPN	1
साथ	ADP	675
ही	PART	1093
विशद्	ADJ	1
है	AUX	9513
हिंदू	ADJ	7
राजा	NOUN	20
काल	NOUN	17
कर	VERB	7155
चीन	PROPN	62
से	ADP	5239
ह्वेन	PROPN	1
सांग	PROPN	1
फाह्यान	PROPN	1
इत्त्‍सिंग	PROPN	1
वृत्तान्त	NOUN	2
यात्रा	NOUN	153
गौरव	NOUN	5
वर्णन	NOUN	1
कुशीनगर	PROPN	10
सबसे	ADV	148
ज्यादा	DET	188
तीर्थ	NOUN	5
रूप	ADP	128
1876	PROPN	1
आ	VERB	700
एक	NUM	1508
बार	NOUN	221
फिर	ADV	142
प्रकाश	NOUN	17
जब	PRON	240
तत्कालीन	ADJ	27
पुरातत्ववेत्ता	NOUN	1
कर्निंघम	PROPN	1
लॉर्ड	NOUN	4
महापरिनिर्वाण	PROPN	8
मूर्ति	PROPN	5
खोज	NOUN	13
सैर	NOUN	8
-	PUNCT	1519
सीमा	NOUN	125
प्रवेश	NOUN	44
भव्	ADJ	1
प्रवेशद्वार	NOUN	1
आप	PRON	138
स्वागत	NOUN	55
यह	PRON	2667
पड़	VERB	3
बाद	ADP	611
आम	ADJ	77
तौर	NOUN	60
पर	ADP	3633
पर्यटक	NOUN	45
निगाह	NOUN	11
मंदिर	PROPN	28
ओर	ADP	238
मंदिर	NOUN	121
स्थापत्य	NOUN	6
प्रेरित	ADJ	7
अजंता	PROPN	4
गुफा	NOUN	10
डाट	NOUN	2
हूबहू	ADV	1
तरह	ADP	57
बना	VERB	467
वह	DET	295
जा	AUX	5225
जहाँ	PRON	96
निकाल	VERB	73
मूर्ति	NOUN	25
था	AUX	2306
हिस्सा	NOUN	129
पूर्व	ADJ	241
स्तूप	NOUN	12
यहाँ	PRON	424
संस्कार	NOUN	18
प्रतिकृति	NOUN	1
भी	PART	2107
वैसे	ADV	15
पूर्व	ADP	44
मौजूद	ADJ	111
आसपास	ADP	17
कई	DET	343
विहार	NOUN	7
(	PUNCT	494
रह	VERB	551
बौद्ध	ADJ	6
भिक्षु	NOUN	9
कर	AUX	135
)	PUNCT	492
चैत्य	NOUN	3
पूजा	NOUN	16
या	CCONJ	208
लगा	VERB	453
ध्यान	NOUN	96
भग्	NOUN	1
खंडहर	NOUN	2
जो	PRON	684
बता	VERB	813
अशोककालीन	ADJ	1
परिसर	NOUN	32
लग	VERB	249
पार्क	NOUN	8
काफी	DET	177
बड़ा	ADJ	12
सा	PART	24
जमावड़ा	NOUN	1
रह	AUX	1712
वातावरण	NOUN	14
पूरा	ADJ	427
अलौकिक	ADJ	1
शान्ति	NOUN	81
दूर	ADV	51
कुछ	DET	399
आगे	ADV	96
माथा	PROPN	2
कुँवर	PROPN	3
लोग	NOUN	833
स्थानीय	ADJ	82
विष्णु	PROPN	4
अवतार	NOUN	1
मान्यता	NOUN	14
प्रचलित	ADJ	4
करीब	PART	150
सौ	NUM	43
पाँच	NUM	16
वर्ष	NOUN	257
पुराना	ADJ	62
प्रमाण	NOUN	7
मिल	VERB	668
बन	VERB	337
